protein_id	Scer	Spom	Nirr	CneoH99	Ztri	Ncra	Cimm	Ccin	Afum	Amega	Mcir
AC1KRY_000002	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000016	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000032	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000044	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000061	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000066	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000069	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000077	0	0	0	0	1	0	0	0	0	0	0
AC1KRY_000085	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000112	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000116	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000131	1	0	0	1	0	0	0	0	0	0	1
AC1KRY_000138	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000149	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000151	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000163	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000173	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000175	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000182	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000189	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000190	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000191	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000207	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000219	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000247	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000262	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000269	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000291	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000317	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000320	0	0	1	0	0	0	0	0	0	0	0
AC1KRY_000327	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000330	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000358	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000360	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000361	0	0	1	0	1	1	0	0	1	0	0
AC1KRY_000382	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000397	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000398	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000436	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000550	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000555	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000565	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000566	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000619	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000623	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000696	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000701	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000752	0	0	0	1	0	1	0	0	1	0	0
AC1KRY_000753	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000754	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000758	0	0	0	0	1	0	0	0	0	0	0
AC1KRY_000765	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000767	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000779	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000792	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000802	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000809	1	0	0	0	0	0	1	0	0	1	0
AC1KRY_000829	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000853	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000869	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000894	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000943	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_000953	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_001009	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_001010	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_001037	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_001040	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_001041	0	0	0	1	1	1	0	0	1	1	0
AC1KRY_001108	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_001169	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_001181	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_001188	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_001197	0	0	0	0	0	0	0	0	0	0	0
AC1KRY_001206	0	0	0	0	0	0	0	0	0	0	0
