AC1KRZ_000006	sp|Q4WN99|DPH2_ASPFU	sp|Q4WN99|DPH2_ASPFU 2-(3-amino-3-carboxypropyl)histidine synthase subunit 2 OS=Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) OX=330879 GN=dph2 PE=3 SV=1	2.03e-75	249
AC1KRZ_000019	sp|Q9C0V1|AMT1_SCHPO	sp|Q9C0V1|AMT1_SCHPO Ammonium transporter 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=amt1 PE=3 SV=1	2.88e-110	357
AC1KRZ_000023	sp|O94242|SYDM_SCHPO	sp|O94242|SYDM_SCHPO Aspartate--tRNA ligase, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=msd1 PE=3 SV=1	1.28e-132	405
AC1KRZ_000027	sp|P48527|SYYM_YEAST	sp|P48527|SYYM_YEAST Tyrosine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MSY1 PE=1 SV=1	1.96e-99	308
AC1KRZ_000035	sp|Q9USL3|SYIM_SCHPO	sp|Q9USL3|SYIM_SCHPO Isoleucine--tRNA ligase, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ism1 PE=3 SV=1	2.25e-243	713
AC1KRZ_000046	sp|B0XUR7|PPZA_ASPFC	sp|B0XUR7|PPZA_ASPFC Serine/threonine-protein phosphatase ppzA OS=Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) OX=451804 GN=ppzA PE=1 SV=1	3.02e-208	590
AC1KRZ_000052	sp|O60161|UTP4_SCHPO	sp|O60161|UTP4_SCHPO U3 small nucleolar RNA-associated protein 4 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=utp4 PE=3 SV=1	2.46e-146	447
AC1KRZ_000060	sp|P47042|IKS1_YEAST	sp|P47042|IKS1_YEAST Probable serine/threonine-protein kinase IKS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IKS1 PE=1 SV=1	2.76e-51	189
AC1KRZ_000070	sp|P32368|SAC1_YEAST	sp|P32368|SAC1_YEAST Phosphatidylinositol-3-phosphatase SAC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SAC1 PE=1 SV=1	5.24e-157	466
AC1KRZ_000074	sp|P28812|Y3568_PSEAE	sp|P28812|Y3568_PSEAE Uncharacterized protein PA3568 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA3568 PE=3 SV=2	6.10e-169	499
AC1KRZ_000078	sp|O60508|PRP17_HUMAN	sp|O60508|PRP17_HUMAN Pre-mRNA-processing factor 17 OS=Homo sapiens OX=9606 GN=CDC40 PE=1 SV=1	1.24e-122	374
AC1KRZ_000080	sp|P51691|ARS_PSEAE	sp|P51691|ARS_PSEAE Arylsulfatase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=atsA PE=1 SV=3	6.77e-169	496
AC1KRZ_000087	sp|Q9USQ1|CTF18_SCHPO	sp|Q9USQ1|CTF18_SCHPO Chromosome transmission fidelity protein 18 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ctf18 PE=1 SV=1	1.68e-65	235
AC1KRZ_000108	sp|Q9USP9|YHP4_SCHPO	sp|Q9USP9|YHP4_SCHPO Uncharacterized RNA-binding protein C902.04 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC902.04 PE=1 SV=1	1.32e-31	133
AC1KRZ_000114	sp|Q5A3L9|ZCF30_CANAL	sp|Q5A3L9|ZCF30_CANAL Zinc cluster transcription factor ZCF30 OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=ZCF30 PE=2 SV=1	3.00e-37	152
AC1KRZ_000120	sp|O74933|UAP1_CANAX	sp|O74933|UAP1_CANAX UDP-N-acetylglucosamine pyrophosphorylase OS=Candida albicans OX=5476 GN=UAP1 PE=1 SV=1	7.49e-143	423
AC1KRZ_000132	sp|P47048|YJE9_YEAST	sp|P47048|YJE9_YEAST Uncharacterized protein YJL049W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJL049W PE=1 SV=1	4.73e-15	82.4
AC1KRZ_000188	sp|Q9HGI7|ERF3_CANMA	sp|Q9HGI7|ERF3_CANMA Eukaryotic peptide chain release factor GTP-binding subunit OS=Candida maltosa OX=5479 GN=SUP35 PE=3 SV=2	1.19e-229	652
AC1KRZ_000193	sp|Q2KHZ2|HBS1L_BOVIN	sp|Q2KHZ2|HBS1L_BOVIN HBS1-like protein OS=Bos taurus OX=9913 GN=HBS1L PE=2 SV=1	3.56e-136	422
AC1KRZ_000205	sp|Q9HFS7|UBP4_KLULA	sp|Q9HFS7|UBP4_KLULA Ubiquitin carboxyl-terminal hydrolase 4 OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) OX=284590 GN=DOA4 PE=3 SV=1	1.22e-34	145
AC1KRZ_000220	sp|Q1DZE0|ATG15_COCIM	sp|Q1DZE0|ATG15_COCIM Putative lipase ATG15 OS=Coccidioides immitis (strain RS) OX=246410 GN=ATG15 PE=3 SV=2	1.56e-131	397
AC1KRZ_000222	sp|O13934|ATG15_SCHPO	sp|O13934|ATG15_SCHPO Putative lipase atg15 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=atg15 PE=3 SV=1	3.56e-139	409
