control_id,class,expected_call,anchor_type,anchor,proteome_short,gene_name,expected_origin,source,notes
POS_HEX1,positive,novel,protein_id,NCU08332-t26_1-p1,Ncra,hex-1,Pezizomycotina,"Woronin body organelle; Pezizomycotina-specific (multiple refs, e.g. Springer 'The Woronin Body: A Fungal Organelle Regulating Multicellularity')","ID-translated from pezizo_set1's UniProt anchor sp|P87252|HEX1_NEUCR (gene2acc UP000001805; 176aa exact). pezizo5 uses FungiDB gene models, so the UniProt accession does not resolve here. Biology unchanged -- see configs/controls/pezizo_set1.controls_verification.md. CONFIRMED on the 2026-09-10 rerun (post DIAMOND_SELF --very-sensitive fix): self_hits/Ncra.paralog_cutoffs.tsv now correctly pairs hex-1 with eIF-5A (2.84e-06); the Mcir presence_matrix.tsv column flipped 1->0; sp|P87252|HEX1_NEUCR::Ncra is back in candidates.txt. Ready to use."
POS_LAH,positive,novel,protein_id,NCU02793-t26_4-p1,Ncra,lah (NCU02793),Pezizomycotina,"Leashin, Woronin body tethering protein; Ng/Liu et al. PLOS Genetics 2009 (PMID 19543374); split into lah-1/lah-2 in Neurospora/Sordaria but a single NCU02793 locus in this UniProt annotation","ID-translated from pezizo_set1's UniProt anchor tr|V5IRA6|V5IRA6_NEUCR (GN=NCU02793; isoform t26_4 is the 10739aa match (5 isoforms exist)). pezizo5 uses FungiDB gene models, so the UniProt accession does not resolve here. Biology unchanged -- see configs/controls/pezizo_set1.controls_verification.md. Confirmed present in all 5 ingroup (1.1e-59 to 0.0, --very-sensitive diamond) and ZERO hit in any of the 6 outgroup proteomes even at e<=1 -- cleanest candidate of this set."
POS_ADA1,positive,novel,protein_id,NCU00499-t26_1-p1,Ncra,ada-1,Pezizomycotina,user-supplied (hyphal anastomosis gene set),"ID-translated from pezizo_set1's UniProt anchor tr|Q7SE74|Q7SE74_NEUCR (gene2acc UP000001805; 629aa exact). pezizo5 uses FungiDB gene models, so the UniProt accession does not resolve here. Biology unchanged -- see configs/controls/pezizo_set1.controls_verification.md. Confirmed present in all 5 ingroup (3.7e-83 to 0.0). Outgroup: only 2 species show a marginal, almost certainly insignificant hit (CneoH99 1.8e-01, Mcir 5.7e-02); rest have none. Clean candidate."
POS_HAM5,positive,novel,protein_id,NCU01789-t26_1-p1,Ncra,ham-5,Pezizomycotina,"Fu et al. 2011 Eukaryot Cell (PMC3068686), MAP kinase scaffold for cell fusion","ID-translated from pezizo_set1's UniProt anchor tr|V5IN79|V5IN79_NEUCR (gene2acc UP000001805; 1686aa exact (2 identical-length isoforms)). pezizo5 uses FungiDB gene models, so the UniProt accession does not resolve here. Biology unchanged -- see configs/controls/pezizo_set1.controls_verification.md. Confirmed present in all 5 ingroup (4.3e-134 to 0.0). Outgroup: only marginal noise in Ccin (4.8e-01) and Scer (2.9e-01); rest have none. Clean candidate."
POS_HAM8,positive,novel,protein_id,NCU02811-t26_1-p1,Ncra,ham-8,Pezizomycotina,user-supplied (hyphal anastomosis gene set),"ID-translated from pezizo_set1's UniProt anchor tr|Q7SEK3|Q7SEK3_NEUCR (gene2acc UP000001805; 526aa exact). pezizo5 uses FungiDB gene models, so the UniProt accession does not resolve here. Biology unchanged -- see configs/controls/pezizo_set1.controls_verification.md. Confirmed present in all 5 ingroup (6.3e-71 to 0.0). ZERO hit in any of the 6 outgroup proteomes even at e<=1. Clean candidate."
POS_SPA1,positive,novel,protein_id,NCU00627-t26_1-p1,Ncra,spa-1,Pezizomycotina,"FungiDB (NCU00627, 'Septal pore-associated protein 1'); user-supplied septal-pore-gating gene set","ID-translated from pezizo_set1's UniProt anchor tr|Q7SI25|Q7SI25_NEUCR (GN=NCU00627; 569aa exact). pezizo5 uses FungiDB gene models, so the UniProt accession does not resolve here. Biology unchanged -- see configs/controls/pezizo_set1.controls_verification.md. Confirmed present in all 5 ingroup (7.4e-12 to 7.8e-303 -- Amega notably weaker than the rest, still significant). ZERO hit in any outgroup even at e<=1. Clean candidate."
EXAMPLE_EXCLUDED_SPA18,positive,novel,protein_id,NCU06253-t26_1-p1,Ncra,spa-18,Pezizomycotina,"FungiDB (NCU06253, 'Septal pore-associated protein 18'); Zhou/Read PNAS 2012 (intrinsically disordered SPA proteins)","ID-translated from pezizo_set1's UniProt anchor tr|Q7SB60|Q7SB60_NEUCR (GN=NCU06253; 1117aa exact). pezizo5 uses FungiDB gene models, so the UniProt accession does not resolve here. Biology unchanged -- see configs/controls/pezizo_set1.controls_verification.md. EXCLUDED as of 2026-09-10 rerun: Nirr's presence_matrix.tsv column is 1 (present) -- the 6.8e-08 cross-hit was NOT disqualified by the paralog-competition filter, so spa-18 does not appear in candidates.txt on real data. Either Nirr has a real distant ortholog (contradicting Pezizomycotina-specificity) or this is an uncaught paralog artifact needing its own root-cause, same class as hex-1 but unresolved. Do not use until investigated."
NEG_BUSCO01,negative,core,busco,100036at4751,,eukaryotic translation initiation factor 3,pan-fungal,fungi_odb12 (BUSCO 6.0.0),"Complete/single-copy in all 11 pezizo_set1 proteomes (this study's own busco_pezizo5 run, run_fungi_odb12/full_table.tsv). Must never be called novel."
NEG_BUSCO02,negative,core,busco,100149at4751,,dephospho-CoA kinase,pan-fungal,fungi_odb12 (BUSCO 6.0.0),Complete/single-copy in all 11 pezizo_set1 proteomes. Must never be called novel.
NEG_BUSCO03,negative,core,busco,100207at4751,,Krr1,pan-fungal,fungi_odb12 (BUSCO 6.0.0),Complete/single-copy in all 11 pezizo_set1 proteomes. Must never be called novel.
